item,itemLabel,patrons,lat,long
http://www.wikidata.org/entity/Q178021,Dublin Airport,29582308,53.421388888889,-6.27
http://www.wikidata.org/entity/Q319654,LaGuardia Airport,29568304,40.77725,-73.872611111111
http://www.wikidata.org/entity/Q15114,Zurich Airport,29396094,47.464722222222,8.5491666666667
http://www.wikidata.org/entity/Q206277,Copenhagen Airport,29177761,55.618055555556,12.656111111111
http://www.wikidata.org/entity/Q656993,Palma de Mallorca Airport,27970656,39.551675,2.7388083333333
http://www.wikidata.org/entity/Q193682,Kansai International Airport,27886816,34.434166666667,135.23277777778
http://www.wikidata.org/entity/Q8694,Manchester Airport,27826054,53.353889,-2.275
http://www.wikidata.org/entity/Q210559,"Oslo Airport, Gardermoen",27482486,60.202778,11.083889
http://www.wikidata.org/entity/Q403671,Lisbon Airport,26676552,38.774167,-9.134167
http://www.wikidata.org/entity/Q223499,Stockholm Arlanda Airport,26642034,59.651944444444,17.918611111111
http://www.wikidata.org/entity/Q8709,London Stansted Airport,25904450,51.885,0.235
http://www.wikidata.org/entity/Q827480,Antalya International Airport,25873538,36.900277777778,30.792777777778
http://www.wikidata.org/entity/Q559107,Nanjing Lukou International Airport,25822936,31.742222222222,118.86194444444
http://www.wikidata.org/entity/Q482493,Gimpo International Airport,25101147,37.556944444444,126.7975
http://www.wikidata.org/entity/Q28934,Brussels Airport,24783911,50.901388888889,4.4844444444444
http://www.wikidata.org/entity/Q58226,Düsseldorf International Airport,24640564,51.289444444444,6.7666666666667
http://www.wikidata.org/entity/Q177216,Xiamen Gaoqi International Airport,24485239,24.544166666667,118.12777777778
http://www.wikidata.org/entity/Q32999,Wien-Schwechat Airport,24392805,48.110278,16.569722
http://www.wikidata.org/entity/Q2034869,Zhengzhou Xinzheng International Airport,24299073,34.519722222222,113.84083333333
http://www.wikidata.org/entity/Q1137465,Fukuoka Airport,23796849,33.584444444444,130.45166666667
http://www.wikidata.org/entity/Q1330618,Changsha Huanghua International Airport,23764820,28.196666666667,113.22083333333
http://www.wikidata.org/entity/Q641967,Cancún International Airport,23601509,21.036667,-86.876944
http://www.wikidata.org/entity/Q321224,Vancouver International Airport,23410812,49.1947,-123.184
http://www.wikidata.org/entity/Q1156790,Qingdao Liuting International Airport,23210530,36.266111111111,120.37444444444
http://www.wikidata.org/entity/Q601091,Wuhan Tianhe International Airport,23129400,30.783611111111,114.20805555556
http://www.wikidata.org/entity/Q45523,Brisbane Airport,22949267,-27.383333333333,153.11833333333
http://www.wikidata.org/entity/Q1143116,Haikou Meilan International Airport,22584815,19.934722222222,110.45888888889
http://www.wikidata.org/entity/Q60910,Milan–Malpensa Airport,22169167,45.63,8.7230555555556
http://www.wikidata.org/entity/Q211734,Athens International Airport,21737787,37.936388888889,23.944444444444
http://www.wikidata.org/entity/Q765650,Ürümqi Diwopu International Airport,21500901,43.907222222222,87.474166666667
http://www.wikidata.org/entity/Q821750,OR Tambo International Airport,21237208,-26.139167,28.246111
http://www.wikidata.org/entity/Q774669,Tianjin Binhai International Airport,21005001,39.124444444444,117.34611111111
http://www.wikidata.org/entity/Q181479,Ben Gurion Airport,20781226,32.009444444444,34.882777777778
http://www.wikidata.org/entity/Q9688,Berlin Tegel Airport,20460688,52.559722,13.287778
http://www.wikidata.org/entity/Q684964,Sanya Phoenix International Airport,19389936,18.302897222222,109.41227222222
http://www.wikidata.org/entity/Q45938,Auckland Airport,19020573,-37.008055555556,174.79166666667
http://www.wikidata.org/entity/Q215327,Helsinki Airport,18981400,60.317222222222,24.963333333333
http://www.wikidata.org/entity/Q1156786,Harbin Taiping International Airport,18810317,45.623402777778,126.25032777778
http://www.wikidata.org/entity/Q690894,Málaga Airport,18626581,36.675,-4.499167
http://www.wikidata.org/entity/Q273462,Vnukovo International Airport,18139000,55.596111111111,37.2675
http://www.wikidata.org/entity/Q3243613,Guiyang Longdongbao International Airport,18109610,26.538611111111,106.80083333333
http://www.wikidata.org/entity/Q27706,Hamburg Airport,17622997,53.630278,9.991111
http://www.wikidata.org/entity/Q965083,Dalian Zhoushuizi International Airport,17503810,38.965555555556,121.53833333333
